"Ordinal","Dates","New South Wales","Victoria","Queensland","South Australia","Western Australia","Tasmania","Northern Territory","Australian Capital Territory","Australia"
1,"2008/09",77.7023018236386,61.6625222871316,78.590435945907,79.8308411575099,149.429751143846,136.569030024606,173.510244351339,77.4948208069676,83.826253351923
2,"2009/10",77.8568401179571,59.2310964400768,80.9350100709599,75.6838535950476,151.695116867357,142.873987662303,161.342687289471,76.3172879706772,83.7088293031647
3,"2010/11",72.9654199629869,56.1434225796916,69.3829356738261,70.4153538576763,131.866156711392,134.520599902636,135.028448887121,68.4919222250907,76.0633023491828
4,"2011/12",69.9852031230063,57.4152849423235,75.6103449415554,72.7773166940802,126.94830400407,110.313372052122,144.670750058284,69.9210440352792,75.9445161571278
5,"2012/13",76.2777632511583,61.7792220548242,77.2311611184949,77.6655291572539,134.029555953009,76.1414283789931,134.116878066539,77.2640812822727,79.7691417234831
6,"2013/14",75.2459294335256,62.0232651282452,78.5000507452561,73.9964847698058,134.710010454368,74.9463125534197,153.243801823017,79.7198552465413,79.7324942921796
7,"2014/15",72.9998340372744,61.5156413091163,78.7719258587619,73.5052344137715,128.436492392564,72.0205312579472,143.306687590931,74.4240335714087,77.9199021497947
8,"2015/16",72.6379561088539,62.1570239740607,77.3360670624988,79.3908139858703,129.965516135115,73.5477687560143,157.865173112774,77.5779947606573,78.3930920820786
9,"2016/17",72.3281096908982,62.6990018815586,78.6038180249541,69.1019507876597,125.044567226019,74.4984960145822,183.389257002572,75.2452753248897,77.6022237021213
